"unique_id","display_week","sewershed","percentile","percentile_bin","percentile_bin_label","counties","jurisdiction","latitude","longitude","percentile_bin__colour","percentile_bin_label__colour"
"NWSS_va_2019_Treatment plant-2024-04-27","2024-04-27","ID:2019","Insufficient Data","0","Insufficient Data","Bedford City, Lynchburg City, Amherst, Bedford, Campbell","Virginia","37.401042000000004","-79.11790099999999","#cccccc","#cccccc"
"NWSS_de_288_Treatment plant-2024-04-27","2024-04-27","ID:288","0.0","1","Minimal","Sussex","Delaware","38.78557","-75.12564","#1a6e6b","#82cec2"
"WWS_la_655_Treatment plant-2024-04-27","2024-04-27","ID:655","Insufficient Data","0","Insufficient Data","Orleans","Louisiana","29.918713","-89.95576299999999","#cccccc","#cccccc"
"NWSS_il_439_Treatment plant-2024-04-27","2024-04-27","ID:439","43.9","5","Moderate","Du Page","Illinois","41.682439","-88.209424","#71e0d5","#51b2cd"
"CDC_VERILY_ks_553_Treatment plant-2024-04-27","2024-04-27","ID:553","Insufficient Data","0","Insufficient Data","Shawnee","Kansas","39.145227","-95.797815","#cccccc","#cccccc"
"NWSS_wv_2092_Treatment plant-2024-04-27","2024-04-27","ID:2092","Insufficient Data","0","Insufficient Data","Monongalia","West Virginia","39.602369","-79.912671","#cccccc","#cccccc"
"WWS_ca_194_Treatment plant-2024-04-27","2024-04-27","ID:194","27.03","3","Low","Yolo","California","38.686895","-121.70903299999999","#46a59e","#b1e1bb"
"NWSS_co_198_Treatment plant-2024-04-27","2024-04-27","ID:198","Insufficient Data","0","Insufficient Data","Jefferson","Colorado","39.859458","-104.93444799999999","#cccccc","#cccccc"
"NWSS_de_287_Treatment plant-2024-04-27","2024-04-27","ID:287","0.0","1","Minimal","Sussex","Delaware","38.55062","-75.57603999999999","#1a6e6b","#82cec2"
"WWS_ga_338_Treatment plant-2024-04-27","2024-04-27","ID:338","0.0","1","Minimal","Fulton","Georgia","33.60698","-84.54502699999999","#1a6e6b","#82cec2"
"WWS_ca_175_Treatment plant-2024-04-27","2024-04-27","ID:175","30.49","4","Low","Santa Clara","California","37.460457999999996","-122.127605","#5bc2b9","#b1e1bb"
"NWSS_il_430_Treatment plant-2024-04-27","2024-04-27","ID:430","0.0","1","Minimal","Cook","Illinois","42.005667","-88.127684","#1a6e6b","#82cec2"
"NWSS_wv_2076_Treatment plant-2024-04-27","2024-04-27","ID:2076","Insufficient Data","0","Insufficient Data","Fayette","West Virginia","37.953285","-81.15195","#cccccc","#cccccc"
"WWS_ca_114_Treatment plant-2024-04-27","2024-04-27","ID:114-B","0.0","1","Minimal","Los Angeles","California","33.811917","-118.251554","#1a6e6b","#82cec2"
"NWSS_il_489_Treatment plant-2024-04-27","2024-04-27","ID:489","Insufficient Data","0","Insufficient Data","Sangamon","Illinois","39.791756","-89.64100499999999","#cccccc","#cccccc"
"WWS_ky_568_Treatment plant-2024-04-27","2024-04-27","ID:568","34.55","4","Low","Jefferson","Kentucky","38.242090999999995","-85.806723","#5bc2b9","#b1e1bb"
"CDC_VERILY_vt_1962_Treatment plant-2024-04-27","2024-04-27","ID:1962","Insufficient Data","0","Insufficient Data","Bennington","Vermont","42.925756","-73.11014200000001","#cccccc","#cccccc"
"WWS_ca_124_Treatment plant-2024-04-27","2024-04-27","ID:124","0.0","1","Minimal","Merced","California","37.095128","-120.847999","#1a6e6b","#82cec2"
"CDC_VERILY_ca_190_Treatment plant-2024-04-27","2024-04-27","ID:190-A","Insufficient Data","0","Insufficient Data","Ventura","California","34.157221","-119.122926","#cccccc","#cccccc"
"NWSS_wa_2066_Treatment plant-2024-04-27","2024-04-27","ID:2066","Insufficient Data","0","Insufficient Data","Whatcom","Washington","48.928128","-122.433649","#cccccc","#cccccc"
"NWSS_va_2020_Treatment plant-2024-04-27","2024-04-27","ID:2020","Insufficient Data","0","Insufficient Data","Hampton City, Newport News City","Virginia","36.988737","-76.41568299999999","#cccccc","#cccccc"
"NWSS_il_491_Treatment plant-2024-04-27","2024-04-27","ID:491","0.0","1","Minimal","Stephenson","Illinois","42.320609","-89.589646","#1a6e6b","#82cec2"
"NWSS_ks_550_Treatment plant-2024-04-27","2024-04-27","ID:550","0.0","1","Minimal","Johnson","Kansas","39.013459","-94.67716300000001","#1a6e6b","#82cec2"
"WWS_me_712_Treatment plant-2024-04-27","2024-04-27","ID:712","Insufficient Data","0","Insufficient Data","Penobscot","Maine","45.057064","-68.88257300000001","#cccccc","#cccccc"
"WWS_ct_268_Treatment plant-2024-04-27","2024-04-27","ID:268","Insufficient Data","0","Insufficient Data","Fairfield","Connecticut","41.067195999999996","-73.546357","#cccccc","#cccccc"
"CDC_VERILY_ia_535_Treatment plant-2024-04-27","2024-04-27","ID:535","Insufficient Data","0","Insufficient Data","Johnson","Iowa","41.644687","-91.534579","#cccccc","#cccccc"
"NWSS_ky_581_Treatment plant-2024-04-27","2024-04-27","ID:581","Insufficient Data","0","Insufficient Data","Pulaski","Kentucky","37.10084","-84.55305399999999","#cccccc","#cccccc"
"NWSS_va_2008_Treatment plant-2024-04-27","2024-04-27","ID:2008","Insufficient Data","0","Insufficient Data","Tazewell","Virginia","37.181098999999996","-81.42276700000001","#cccccc","#cccccc"
"NWSS_wa_2044_Treatment plant-2024-04-27","2024-04-27","ID:2044","Insufficient Data","0","Insufficient Data","Jefferson","Washington","48.023852","-122.845323","#cccccc","#cccccc"
"CDC_VERILY_ca_128_Treatment plant-2024-04-27","2024-04-27","ID:128","Insufficient Data","0","Insufficient Data","Monterey","California","36.554741","-121.92879500000001","#cccccc","#cccccc"
"NWSS_ca_136_Treatment plant-2024-04-27","2024-04-27","ID:136","0.0","1","Minimal","Placer","California","38.780514999999994","-121.324399","#1a6e6b","#82cec2"
"WWS_ca_174_Treatment plant-2024-04-27","2024-04-27","ID:174","Insufficient Data","0","Insufficient Data","Santa Clara","California","37.011827000000004","-121.498409","#cccccc","#cccccc"
"NWSS_ca_190_Treatment plant-2024-04-27","2024-04-27","ID:190-C","0.0","1","Minimal","Ventura","California","34.161061000000004","-119.133486","#1a6e6b","#82cec2"
"NWSS_il_477_Treatment plant-2024-04-27","2024-04-27","ID:477","0.0","1","Minimal","Peoria","Illinois","40.62540499999999","-89.67922899999999","#1a6e6b","#82cec2"
"CDC_VERILY_ma_740_Treatment plant-2024-04-27","2024-04-27","ID:740","Insufficient Data","0","Insufficient Data","Hampden","Massachusetts","42.157652000000006","-72.659421","#cccccc","#cccccc"
"NWSS_or_1721_Treatment plant-2024-04-27","2024-04-27","ID:1721","Insufficient Data","0","Insufficient Data","Columbia","Oregon","45.896513999999996","-122.922975","#cccccc","#cccccc"
"NWSS_va_1990_Treatment plant-2024-04-27","2024-04-27","ID:1990","Insufficient Data","0","Insufficient Data","Halifax","Virginia","36.669767","-78.94334699999999","#cccccc","#cccccc"
"WWS_ca_118_Treatment plant-2024-04-27","2024-04-27","ID:118","11.54","2","Minimal","Marin","California","37.968308","-122.507486","#318984","#82cec2"
"NWSS_fl_315_Treatment plant-2024-04-27","2024-04-27","ID:315-C","Insufficient Data","0","Insufficient Data","Orange","Florida","28.458357","-81.45844","#cccccc","#cccccc"
"NWSS_or_1717_Treatment plant-2024-04-27","2024-04-27","ID:1717","Insufficient Data","0","Insufficient Data","Clackamas","Oregon","45.214568","-122.667593","#cccccc","#cccccc"
"CDC_VERILY_ca_180_Treatment plant-2024-04-27","2024-04-27","ID:180","Insufficient Data","0","Insufficient Data","Santa Cruz, Monterey","California","36.98997","-121.75416","#cccccc","#cccccc"
"NWSS_il_482_Treatment plant-2024-04-27","2024-04-27","ID:482","0.0","1","Minimal","Rock Island","Illinois","41.535351000000006","-90.521732","#1a6e6b","#82cec2"
"WWS_ca_191_Treatment plant-2024-04-27","2024-04-27","ID:191","Insufficient Data","0","Insufficient Data","Yolo","California","38.789348999999994","-122.09272399999999","#cccccc","#cccccc"
"WWS_al_7_Treatment plant-2024-04-27","2024-04-27","ID:7","Insufficient Data","0","Insufficient Data","Jefferson","Alabama","33.512855","-86.976655","#cccccc","#cccccc"
"CDC_VERILY_ak_15_Treatment plant-2024-04-27","2024-04-27","ID:15","Insufficient Data","0","Insufficient Data","Juneau","Alaska","58.370281000000006","-134.527146","#cccccc","#cccccc"
"NWSS_ca_172_Treatment plant-2024-04-27","2024-04-27","ID:172","0.0","1","Minimal","Santa Barbara","California","34.431068","-119.626503","#1a6e6b","#82cec2"
"NWSS_ca_182_Treatment plant-2024-04-27","2024-04-27","ID:182","36.84","4","Low","Shasta","California","40.463484","-122.26880399999999","#5bc2b9","#b1e1bb"
"NWSS_il_460_Treatment plant-2024-04-27","2024-04-27","ID:460","Insufficient Data","0","Insufficient Data","Mcdonough","Illinois","40.454264","-90.656955","#cccccc","#cccccc"
"WWS_ny_1431_Treatment plant-2024-04-27","2024-04-27","ID:1431","20.93","3","Low","Tompkins","New York","42.402394","-76.476199","#46a59e","#b1e1bb"
"NWSS_oh_1587_Treatment plant-2024-04-27","2024-04-27","ID:1587","0.0","1","Minimal","Hamilton","Ohio","39.116274","-84.652556","#1a6e6b","#82cec2"
"NWSS_ca_102_Treatment plant-2024-04-27","2024-04-27","ID:102","Insufficient Data","0","Insufficient Data","Fresno","California","36.650594999999996","-120.00726900000001","#cccccc","#cccccc"
"CDC_VERILY_me_698_Treatment plant-2024-04-27","2024-04-27","ID:698","Insufficient Data","0","Insufficient Data","Aroostook","Maine","46.872115","-68.03312199999999","#cccccc","#cccccc"
"NWSS_or_1726_Treatment plant-2024-04-27","2024-04-27","ID:1726","Insufficient Data","0","Insufficient Data","Douglas","Oregon","43.26146","-123.47044000000001","#cccccc","#cccccc"
"WWS_tx_1857_Treatment plant-2024-04-27","2024-04-27","ID:1857","Insufficient Data","0","Insufficient Data","Dallas","Texas","32.807328","-96.56512599999999","#cccccc","#cccccc"
"WWS_ca_148_Treatment plant-2024-04-27","2024-04-27","ID:148-B","16.46","2","Minimal","San Francisco, San Mateo","California","37.73611","-122.372657","#318984","#82cec2"
"NWSS_il_433_Treatment plant-2024-04-27","2024-04-27","ID:433","0.0","1","Minimal","Du Page","Illinois","41.829479","-88.08971600000001","#1a6e6b","#82cec2"
"WWS_ms_1033_Treatment plant-2024-04-27","2024-04-27","ID:1033","Insufficient Data","0","Insufficient Data","Jackson","Mississippi","30.412676","-88.67239","#cccccc","#cccccc"
"NWSS_oh_1543_Treatment plant-2024-04-27","2024-04-27","ID:1543","0.0","1","Minimal","Darke","Ohio","40.146598","-84.655348","#1a6e6b","#82cec2"
"NWSS_or_1720_Treatment plant-2024-04-27","2024-04-27","ID:1720","Insufficient Data","0","Insufficient Data","Clatsop","Oregon","46.133366","-123.784876","#cccccc","#cccccc"
"WWS_ak_13_Treatment plant-2024-04-27","2024-04-27","ID:13","11.11","2","Minimal","Anchorage","Alaska","61.171229","-149.965208","#318984","#82cec2"
"NWSS_az_54_Treatment plant-2024-04-27","2024-04-27","ID:54","Insufficient Data","0","Insufficient Data","Yuma","Arizona","32.531468","-114.75927899999999","#cccccc","#cccccc"
"WWS_ca_133_Treatment plant-2024-04-27","2024-04-27","ID:133","4.26","1","Minimal","Orange","California","33.523537000000005","-117.708982","#1a6e6b","#82cec2"
"WWS_ca_183_Treatment plant-2024-04-27","2024-04-27","ID:183","14.55","2","Minimal","Solano","California","38.096439000000004","-122.24968","#318984","#82cec2"
"WWS_ca_192_Treatment plant-2024-04-27","2024-04-27","ID:192","Insufficient Data","0","Insufficient Data","Yolo","California","38.622928","-121.921436","#cccccc","#cccccc"
"NWSS_il_407_Treatment plant-2024-04-27","2024-04-27","ID:407","0.0","1","Minimal","Carroll","Illinois","42.080121999999996","-90.002279","#1a6e6b","#82cec2"
"NWSS_il_415_Before treatment plant-2024-04-27","2024-04-27","ID:415","Insufficient Data","0","Insufficient Data","Cook","Illinois","41.822409","-87.68636","#cccccc","#cccccc"
"WWS_in_529_Treatment plant-2024-04-27","2024-04-27","ID:529","17.78","2","Minimal","St Joseph","Indiana","41.715278999999995","-86.344098","#318984","#82cec2"
"WWS_wi_2138_Treatment plant-2024-04-27","2024-04-27","ID:2138","30.61","4","Low","Marathon","Wisconsin","44.972554","-89.80176200000001","#5bc2b9","#b1e1bb"
"NWSS_ca_100_Treatment plant-2024-04-27","2024-04-27","ID:100","Insufficient Data","0","Insufficient Data","Del Norte","California","41.744532","-124.058777","#cccccc","#cccccc"
